,Barrios,city_coord,latitud,longitud
0,San Cristóbal,"San Cristóbal, Villaverde, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3433537,-3.6878175
1,Los Ángeles,"Los Ángeles, Villaverde, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3562217,-3.6996388
2,San Andrés,"San Andrés, Centro - El Arroyo - La Fuente, Fuenlabrada, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28940, España",40.2851175,-3.7955493
3,Los Rosales,"Los Rosales, Villaverde, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3571948,-3.6894484
4,Villaverde,"Villaverde, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3456104,-3.6959556
5,Butarque,"Butarque, Villaverde, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3364041,-3.6742402
6,Vicálvaro,"Vicálvaro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3965841,-3.5766216
7,Ambroz,"Ambroz, Rosas, San Blas - Canillejas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4147946,-3.60034
8,Casco Histórico de Vicálvaro,"Casco Histórico de Vicálvaro, Vicálvaro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4052863,-3.6072004
11,Casco Histórico de Vallecas,"Casco Histórico de Vallecas, Villa de Vallecas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3773477,-3.6217118
12,Ensanche de Vallecas - La Gavia,"Av. de la Gavia - Av. Ensanche de Vallecas, Avenida de La Gavia, Ensanche de Vallecas, Villa de Vallecas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.371129,-3.6135502
13,Villa de Vallecas,"Villa de Vallecas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3739576,-3.6121632
14,Santa Eugenia,"Santa Eugenia, Villa de Vallecas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3829244,-3.6117674
15,Orcasitas,"Orcasitas, Usera, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3691419,-3.7098741
16,Usera,"Usera, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.383894,-3.7064459
17,San Fermín,"San Fermín, Usera, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3711037,-3.6901759
18,Pradolongo,"Pradolongo, Usera, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.376647,-3.7077784
