,Barrios,city_coord,latitud,longitud,renta_media_persona,renta_media_hogar
30,Pacífico,"Pacífico, Calle del Doctor Esquerdo, Pacífico, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28007, España",40.4013961,-3.6748832,18838.692264021276,43434.14270999345
31,Niño Jesús,"Niño Jesús, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4110941,-3.6737205,25063.382395477256,67780.16341533478
32,Jerónimos,"Jerónimos, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4131439,-3.6842184,25792.36515129367,70467.17144290794
33,Estrella,"Estrella, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4117618,-3.6669977,22436.193661971833,60385.786581160515
34,Puente de Vallecas,"Puente de Vallecas, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3835532,-3.65453548036571,9706,25527
35,Palomeras Bajas,"Palomeras Bajas, Puente de Vallecas, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3853367,-3.6579829,11148.3721593078,29604.89602298087
36,San Diego,"San Diego, Puente de Vallecas, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3922796,-3.6674239,8412.53538795497,21858.69264361057
38,Entrevías,"Entrevías, Puente de Vallecas, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.377656650000006,-3.674761075548501,8567.235571752897,23085.76588134208
39,Numancia,"Numancia, Puente de Vallecas, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3995283,-3.6596765,9818.377108275801,25457.011169490244
40,Portazgo,"Portazgo, Avenida de la Albufera, Palomeras Bajas, Puente de Vallecas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28038, España",40.3930132,-3.659194,9483.66797799876,24621.560082261538
41,Aravaca,"Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.457749,-3.7827941,24362.24990257969,69380.4167830863
42,Argüelles,"Argüelles, Calle del Marqués de Urquijo, Gaztambide, Chamberí, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4307266,-3.7161715,23166.730669658267,54446.19324142607
44,Ciudad Universitaria,"Ciudad Universitaria, Avenida Complutense, Ciudad Universitaria, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28040, España",40.4436804,-3.7268294,23760.496603083357,60564.54912720735
45,Valdezarza,"Valdezarza, Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4649542,-3.717074,14738.72135407762,35982.60756191602
46,El Plantío,"El Plantío, Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.468442,-3.817695979687869,30210,89215
47,Fontarrón,"Fontarrón, Moratalaz, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.399161,-3.6462064,11606.687897332304,28717.67711925863
